Word,Definition,Example,Synonym,Antonym
approbation,Approval or praise.,‘he yearned for popular approbation’,", acceptance, assent, endorsement, encouragement, recognition, appreciation, support, respect, admiration, commendation, congratulations",criticism
appropriate,Suitable or proper in the circumstances.,‘refer to the appropriate page of the atlas’,", proper, fitting, apt","inappropriate, irrelevant"
arduous,Involving or requiring strenuous effort; difficult and tiring.,‘she was now faced with an arduous journey into a remote country’,", taxing, difficult, hard, heavy, laborious, burdensome, strenuous, vigorous, back-breaking, stiff, uphill, relentless, Herculean","easy, effortless"
artless,Without guile or deception.,‘she described her characters with apparently artless sincerity’,", naive, simple, innocent, childlike, pure, ingenuous, guileless, candid, open, honest, sincere, frank, straightforward, unaffected, unpretentious, modest, unassuming",scheming
ascetic,"Characterized by severe self-discipline and abstention from all forms of indulgence, typically for religious reasons.","‘an ascetic life of prayer, fasting, and manual labour’",", self-denying, abstinent, abstemious, non-indulgent, self-disciplined, frugal, simple, rigorous, strict, severe, hair-shirt, spartan, monastic, monkish, nunlike",sybaritic
assiduous,Showing great care and perseverance.,‘she was assiduous in pointing out every feature’,", careful, meticulous, thorough, sedulous, attentive, industrious, laborious, hard-working, conscientious, ultra-careful, punctilious, painstaking, demanding, exacting, persevering, unflagging, searching, close, elaborate, minute, accurate, correct, studious, rigorous, particular",
assuage,Make (an unpleasant feeling) less intense.,‘an aching pain that could never be assuaged’,", ease, alleviate, soothe, mitigate, dampen, allay, calm, palliate, abate, lull, temper, suppress, smother, stifle, subdue, tranquillize, mollify, moderate, modify, tone down, attenuate, dilute, lessen, diminish, decrease, reduce, lower",aggravate
attenuate,"Reduce the force, effect, or value of.",,,
audacious,Showing a willingness to take surprisingly bold risks.,‘the audience were left gasping at his audacious exploits’,", daring, fearless, intrepid, brave, unafraid, unflinching, courageous, valiant, valorous, heroic, dashing, plucky, daredevil, devil-may-care, death-or-glory, reckless, wild, madcap",timid
austere,Severe or strict in manner or attitude.,‘he was a conscientious and outwardly austere man’,", stern, strict, harsh, unfeeling, stony, steely, flinty, dour, grim, cold, frosty, frigid, icy, chilly, unemotional, unfriendly, formal, stiff, stuffy, reserved, remote, distant, aloof, forbidding, mean-looking, grave, solemn, serious, unsmiling, unsympathetic, unforgiving, uncharitable",genial
autonomous,(of a country or region) having the freedom to govern itself or control its own affairs.,‘an autonomous republic’,", independent, sovereign, free, self-ruling, self-determining, autarchic",
aver,State or assert to be the case.,‘he averred that he was innocent of the allegations’,", maintain, claim, assert, state, attest, affirm, avow, swear, vow, profess, insist, protest",
banal,So lacking in originality as to be obvious and boring.,"‘songs with banal, repeated words’",", hackneyed, clichéd, platitudinous, vapid, commonplace, ordinary, common, stock, conventional, stereotyped, predictable, overused, overdone, overworked, stale, worn out, time-worn, tired, threadbare, hoary, hack, unimaginative, unoriginal, derivative, uninspired, prosaic, dull, boring, pedestrian, run-of-the-mill, routine, humdrum",original
belie,(of an appearance) fail to give a true impression of (something),‘the expression in his eyes belied his easy manner’,", be at odds with, call into question, give the lie to, prove to be false, show to be false",testify to
beneficent,(of a person) generous or doing good.,‘he sees himself as their beneficent saviour’,", charitable, altruistic, humane, humanitarian, neighbourly, public-spirited, philanthropic","unkind, mean"
bolster,"A long, thick pillow that is placed under other pillows for support.","‘most of them were sitting on the floor which was strewn with cushions, bolsters, and rugs’",", cushion, pad, support, rest",undermine
bombastic,High-sounding but with little meaning; inflated.,‘Howard really was the most bombastic prig’,", blustering, ranting, blathering",straightforward
boorish,Rough and bad-mannered; coarse.,‘they reproached him for his boorish behaviour’,", uncouth, rude, discourteous, impolite, ungentlemanly, unladylike, ill-bred, ill-mannered, churlish, gruff, uncivilized, uncultured, uncultivated, unsophisticated, unrefined, common, rough, thuggish, loutish","refined, sophisticated"
burgeon,Begin to grow or increase rapidly; flourish.,‘tourism has burgeoned over the last ten years’,", increase exponentially, increase rapidly, expand, spring up, shoot up, swell, explode, boom, mushroom, proliferate, snowball, multiply, become more numerous, escalate, rocket, skyrocket, run riot, put on a spurt",shrink
burnish,"Polish (something, especially metal) by rubbing.",‘marks can be removed by scraping and burnishing the metal’,", polish up, shine, brighten, rub down, rub up, buff, buff up, smooth, glaze",dull
buttress,A structure of stone or brick built against a wall to strengthen or support it.,‘the wall was supported by stone buttresses’,", support, abutment, shore, pier, reinforcement, stanchion, stay, strut",
cacophonous,"Involving or producing a harsh, discordant mixture of sounds.",‘cacophonous rock music blared from the speakers’,", noisy, ear-splitting, blaring, booming, thunderous, deafening","harmonious, sweet"
capricious,Given to sudden and unaccountable changes of mood or behaviour.,‘the capricious workings of fate’,", inconstant, changeable, variable, unstable, mercurial, volatile, erratic, vacillating, irregular, inconsistent, fitful, arbitrary","stable, consistent"
castigation,,,,
catalyst,A substance that increases the rate of a chemical reaction without itself undergoing any permanent chemical change.,,,
caustic,Able to burn or corrode organic tissue by chemical action.,‘a caustic cleaner’,", corroding, mordant, acid, alkaline, burning, stinging, acrid, harsh, destructive",kind
chicanery,The use of deception or subterfuge to achieve one's purpose.,‘political chicanery of all sorts goes on behind closed doors’,", deception, deceit, deceitfulness, duplicity, dishonesty, unscrupulousness, underhandedness, subterfuge, fraud, fraudulence, legerdemain, sophistry, sharp practice, skulduggery, swindling, cheating, duping, hoodwinking",
coagulate,"(of a fluid, especially blood) change to a solid or semi-solid state.",‘the heat causes the blood to coagulate’,", clot, cake, solidify, thicken, harden, gel, curdle, stiffen, set, dry",liquefy
coda,"The concluding passage of a piece or movement, typically forming an addition to the basic structure.",,,
cogent,"(of an argument or case) clear, logical, and convincing.",‘a cogent argument’,", compelling, strong, forceful, powerful, potent, weighty","vague, unconvincing, muddled"
commensurate,Corresponding in size or degree; in proportion.,‘the clergy had privileges but they had commensurate duties’,", equal, corresponding, correspondent, comparable, proportionate, proportional",disproportionate
compendium,"A collection of concise but detailed information about a particular subject, especially in a book or other publication.",‘a compendium of useful information about language’,", compilation, anthology, treasury, digest",
complaisant,Willing to please others or to accept what they do or say without protest.,‘he made drunken moves on complaisant chamber maids’,", assenting, acquiescent, agreeable, amenable, cooperative, accommodating, obliging, biddable, compliant, pliant, deferential, docile, obedient, conformable, tractable",unwilling
compliant,"Disposed to agree with others or obey rules, especially to an excessive degree; acquiescent.",‘her compliant husband’,", amenable, biddable, tractable, complaisant, accommodating, cooperative, adaptable","recalcitrant, bloody-minded"
conciliatory,Intended or likely to placate or pacify.,‘a conciliatory gesture’,", placatory, appeasing, pacifying, pacific, mollifying, so as to pour oil on troubled waters, peacemaking, reconciliatory",antagonistic
condone,Accept (behaviour that is considered morally wrong or offensive),‘we cannot condone such dreadful behaviour’,", not take into consideration, disregard, take no notice of, take no account of, accept, allow, make allowances for, let pass, turn a blind eye to, overlook, forget, wink at, blink at, connive at","condemn, punish"
confound,"Cause surprise or confusion in (someone), especially by not according with their expectations.",‘the inflation figure confounded economic analysts’,", astonish, dumbfound, stagger, surprise, startle, stun, stupefy, daze, nonplus",
connoisseur,An expert judge in matters of taste.,‘a connoisseur of fine wines’,", expert judge of, authority, authority on, specialist, specialist in",ignoramus
contention,Heated disagreement.,‘there were a number of points of contention between the Crown and Parliament’,", dispute, disputation, argument, variance",agreement
contentious,Causing or likely to cause an argument; controversial.,‘the contentious issue of abortion’,", disputable, debatable, disputed, contended, open to debate, open to question, moot, vexed",uncontroversial
contrite,Feeling or expressing remorse at the recognition that one has done wrong.,‘he looked so contrite that she relented’,", repentant, penitent, regretful, full of regret, sorry, apologetic, self-reproachful, rueful, sheepish, hangdog","unrepentant, defiant"
conundrum,A confusing and difficult problem or question.,‘some of the conundrums facing policy-makers in the 1980s’,", difficult question, vexed question, difficulty, quandary, dilemma",
converge,(of lines) tend to meet at a point.,"‘Oxford Circus, a station where three lines converge’",", intersect, cross, come together, connect, link up, coincide","separate, diverge"
convoluted,"(especially of an argument, story, or sentence) extremely complex and difficult to follow.",‘an extraordinarily convoluted narrative’,", complex, involved, intricate, elaborate, impenetrable, serpentine, labyrinthine, tortuous, tangled, Byzantine, Daedalian, Gordian","simple, straightforward"
craven,Contemptibly lacking in courage; cowardly.,‘a craven surrender’,", lily-livered, faint-hearted, chicken-hearted, pigeon-hearted, spiritless, spineless, timid, timorous, fearful, trembling, quaking, shrinking, cowering, afraid of one's own shadow, pusillanimous, weak, feeble, soft",brave
daunt,Make (someone) feel intimidated or apprehensive.,‘it will take more than December sleet and gales to daunt the crews’,", abash, take aback, shake, ruffle, throw, demoralize, discourage","encourage, hearten"
decorum,Behaviour in keeping with good taste and propriety.,‘he had acted with the utmost decorum’,", properness, seemliness, decency, decorousness, good taste, correctness, appropriateness, appropriacy",impropriety
default,"Failure to fulfil an obligation, especially to repay a loan or appear in a law court.",‘the recession has been accompanied by a rise in the incidence of defaults on loans’,", failure to pay, non-remittance",repayment
deference,Polite submission and respect.,‘his writings show excessive deference to the gentry’,", respectfulness, regard, esteem",disrespect
delineate,Describe or portray (something) precisely.,‘the initial aims of the study as delineated by the deputy head’,", set forth, set out, present, outline, depict, portray, represent, characterize",
denigrate,Criticize unfairly; disparage.,‘it amused him to denigrate his guests’,", belittle, diminish, deprecate, cast aspersions on, decry, criticize unfairly, attack, speak ill of, speak badly of, blacken the character of, blacken the name of, give someone a bad name, sully the reputation of, spread lies about, defame, slander, libel, calumniate, besmirch, run down, abuse, insult, slight, revile, malign, vilify",extol
deride,Express contempt for; ridicule.,‘the decision was derided by environmentalists’,", mock, jeer at, scoff at, jibe at, make fun of, poke fun at, laugh at, hold up to ridicule, pillory","respect, praise"
derivative,"Imitative of the work of another artist, writer, etc., and usually disapproved of for that reason.",‘her poetry was mannered and derivative’,", unoriginal, uninventive, non-innovative, unimaginative, uninspired",original
desiccate,"Remove the moisture from (something), typically in order to preserve it.",,,
desultory,"Lacking a plan, purpose, or enthusiasm.",‘the Commission took only a desultory interest in humane slaughter methods’,", half-hearted, lukewarm, cursory, superficial, token, perfunctory, passing, incidental, sketchy, haphazard, random, aimless, rambling, erratic, unmethodical, unsystematic, automatic, unthinking, capricious, mechanical, offhand, chaotic, inconsistent, irregular, intermittent, occasional, sporadic, inconstant, fitful","keen, systematic, lasting"
deterrent,A thing that discourages or is intended to discourage someone from doing something.,‘complications of this nature are a deterrent to investors’,", discouragement, dissuasion, damper, brake, curb, check, restraint","incentive, encouragement"
diatribe,A forceful and bitter verbal attack against someone or something.,‘he launched into a diatribe against the Catholic Church’,", harangue, verbal onslaught, verbal attack, stream of abuse, denunciation, broadside, fulmination, condemnation, criticism, stricture, reproof, reproval, reprimand, rebuke, admonishment, admonition",
dichotomy,A division or contrast between two things that are or are represented as being opposed or entirely different.,‘there is a great dichotomy between social theory and practice’,", separation, divorce, split, gulf, chasm",
diffidence,Modesty or shyness resulting from a lack of self-confidence.,‘he regretted his diffidence and awkwardness in large groups’,", bashfulness, unassertiveness, modesty, modestness, self-effacement, humility, humbleness, meekness, timidity, timidness, timorousness, reserve, reticence, introversion",confidence
diffuse,Spread over a wide area or between a large number of people.,‘the light of the moon was diffused by cloud’,", spread out, spread around, send out, scatter, disperse","concentrate, collect"
digression,A temporary departure from the main subject in speech or writing.,‘her book is full of long digressions’,", detour, diversion, departure, excursus",
dirge,"A lament for the dead, especially one forming part of a funeral rite.",‘he wrote dirges for funerals’,", lament, funeral chant, funeral song, burial hymn, requiem, dead march",
disabuse,Persuade (someone) that an idea or belief is mistaken.,"‘he had thought he was good enough to become a professional, and Dinah had disabused him’",", undeceive, correct, set right, set straight, open the eyes of, enlighten, reveal the truth to, wake up, disenchant, shatter the illusions of, make sadder and wiser",
discerning,Having or showing good judgement.,‘we have some real treasures for the discerning collector’,", selective, judicious, tasteful, refined, cultivated, cultured, sophisticated, enlightened, sensitive, subtle, critical","undiscerning, indiscriminate"
discordant,Disagreeing or incongruous.,‘the messages from Washington and London were discordant’,", at variance, at odds, disagreeing, differing, divergent, discrepant, contradictory, contrary, in conflict, conflicting, opposite, opposed, opposing, clashing","in agreement, harmonious, compatible"
discredit,Harm the good reputation of.,‘I've been offered a lot of money for information which might discredit him’,", dishonour, bring into disrepute, damage someone's reputation, blacken someone's name, destroy someone's credibility, drag through the mire, drag through the mud, put in a bad light, show in a bad light, reflect badly on, compromise, give someone a bad name, bring into disfavour",do credit to
discrepancy,An illogical or surprising lack of compatibility or similarity between two or more facts.,‘the discrepancy between the two sets of figures’,", difference, disparity, variance, variation, deviation, divergence, disagreement, dissimilarity, dissimilitude, mismatch, lack of similarity, contrariety, contradictoriness, disaccord, discordance, incongruity, lack of congruence, incompatibility, irreconcilability, conflict, opposition","similarity, correspondence"
discrete,Individually separate and distinct.,‘speech sounds are produced as a continuous signal rather than discrete units’,", distinct, individual, detached, unattached, disconnected, discontinuous, disjunct, disjoined",connected
disingenuous,"Not candid or sincere, typically by pretending that one knows less about something than one really does.",‘it would be disingenuous of us to pretend ignorance of our book's impact’,", deceitful, underhand, underhanded, duplicitous, double-dealing, two-faced, dissembling, insincere, false, lying, untruthful, mendacious","ingenuous, frank"
disinterested,Not influenced by considerations of personal advantage.,‘she is offering disinterested advice’,", unprejudiced, impartial, neutral, non-partisan, non-discriminatory, detached, uninvolved, objective, dispassionate, impersonal, clinical",biased
disjointed,Lacking a coherent sequence or connection.,‘a disjointed series of impressions in her mind’,", disconnected, without unity, disunited, discontinuous, fragmented, fragmentary, disorganized, disordered, muddled, mixed up, jumbled, garbled, incoherent, confused, fitful, erratic, spasmodic, patchy, scrappy, bitty, piecemeal",
dismiss,Order or allow to leave; send away.,‘the president dismissed five of his ministers’,", throw out, get rid of, discharge",engage
disparage,Regard or represent as being of little worth.,‘it has become fashionable to disparage Lawrence and his achievements’,", denigrate, deprecate, depreciate, downgrade, play down, deflate, trivialize, minimize, make light of, treat lightly, undervalue, underrate, underestimate","praise, overrate"
disparate,Essentially different in kind; not able to be compared.,‘the document is made up from several disparate chunks’,", different, differing, dissimilar, unlike, unalike, poles apart",homogeneous
dissemble,Conceal or disguise one's true feelings or beliefs.,"‘she is an honest, sincere person who has no need to dissemble’",", pretend, deceive, feign, act, masquerade, sham, fake, bluff, counterfeit, pose, posture, hide one's feelings, be dishonest, put on a false front, lie",
disseminate,"Spread (something, especially information) widely.",‘health authorities should foster good practice by disseminating information’,", circulate, distribute, disperse, diffuse, proclaim, promulgate, propagate, publicize, communicate, pass on, make known, put about",
dissolution,"The action of formally ending or dismissing an assembly, partnership, or official body.",‘the dissolution of parliament’,", conclusion, end, ending, finish, termination, break-up, split-up, winding down, winding up, discontinuation, suspension","asceticism, restraint"
dissonance,Lack of harmony among musical notes.,‘there is hardly any dissonance on this album’,", discordance, atonality, cacophony",harmony
distend,Swell or cause to swell by pressure from inside.,‘the pressure acts to distend blood vessels’,", bloat, bulge, puff out, puff up, blow out, blow up, expand, dilate, inflate, enlarge","shrink, contract"
distill,,‘all the water used was distilled and deionized’,", refine, filter, treat, process",
diverge,"(of a road, route, or line) separate from another route and go in a different direction.",‘the two roads diverged’,", part, disunite, fork, branch off, divide, subdivide, split, go in different directions, go separate ways",converge
divest,"Deprive someone of (power, rights, or possessions)",‘he intends to divest you of all your power’,", strip, dispossess, relieve",
document,"A piece of written, printed, or electronic matter that provides information or evidence or that serves as an official record.",‘their solicitor drew up a document’,", legal paper, paper, form, certificate, deed, charter, contract, legal agreement",
dogmatic,Inclined to lay down principles as undeniably true.,"‘he criticized the prime minister's strident, dogmatic style’",", peremptory, assertive, imperative, insistent, emphatic, adamant, doctrinaire, authoritarian, authoritative, domineering, imperious, high-handed, pontifical, arrogant, overbearing, dictatorial, uncompromising, unyielding, unbending, inflexible, rigid, entrenched, unquestionable, unchallengeable","low-key, tentative, open-minded"
dormant,(of an animal) having normal physical functions suspended or slowed down for a period of time; in or as if in a deep sleep.,‘the bacteria may lie dormant in the bird’,", sleeping, slumbering, resting, reposing, drowsing, comatose, supine","awake, active"
dupe,Deceive; trick.,‘her daughters were duped by a handsome Lothario’,", trick, hoodwink, hoax, swindle, defraud, cheat, double-cross, gull, mislead, take in, fool, delude, misguide, lead on, inveigle, seduce, ensnare, entrap, beguile","swindler, conman"
ebullient,Cheerful and full of energy.,‘the superb weather put him in an ebullient mood’,", buoyant, cheerful, joyful, cheery, merry, sunny, breezy, jaunty, light-hearted, in high spirits, high-spirited, exhilarated, elated, euphoric, jubilant, animated, sparkling, effervescent, vivacious, enthusiastic, irrepressible",depressed
eclectic,"Deriving ideas, style, or taste from a broad and diverse range of sources.",‘they played an eclectic mix of party music’,", wide, broad, broad-ranging, broad-based, extensive, comprehensive, encyclopedic, general, universal, varied, diverse, diversified, catholic, liberal, cross-disciplinary, interdisciplinary, multidisciplinary, all-embracing, non-exclusive, inclusive, indiscriminate, many-sided, multifaceted, multifarious, heterogeneous, miscellaneous, assorted",narrow
efficacy,The ability to produce a desired or intended result.,‘information on the safety and efficacy of drugs’,", success, successfulness, productiveness, fruitfulness, potency, power",inefficacy
effrontery,Insolent or impertinent behaviour.,‘I am amazed at the effrontery with which the previous speaker lauds himself’,", impertinence, cheek, insolence, cheekiness, audacity, temerity, brazenness, forwardness, front, presumption, nerve, gall, pertness, boldness, shamelessness, impoliteness, disrespect, bad manners, unmannerliness, overfamiliarity",timidity
elegy,"(in modern literature) a poem of serious reflection, typically a lament for the dead.",‘I wrote an elegy for my father’,", funeral song, burial hymn, lament, dirge, plaint, requiem, keening",
elicit,"Evoke or draw out (a reaction, answer, or fact) from someone.",‘the police claimed that his fingerprints had been found in order to elicit admissions from him’,", bring out, draw out, extract, evoke, bring about, bring forth, induce, excite, give rise to, call forth, prompt, generate, engender, spark off, trigger, kindle",
embellish,Make (something) more attractive by the addition of decorative details or features.,‘weapons were often embellished with precious metal’,", adorn, ornament, dress, dress up, furnish",simplify
empirical,"Based on, concerned with, or verifiable by observation or experience rather than theory or pure logic.",‘many of these predictions have received empirical confirmation’,", seen, factual, actual, real, verifiable, first-hand",theoretical
emulate,"Match or surpass (a person or achievement), typically by imitation.",‘they tried to emulate Lucy's glowing performance’,", copy, reproduce, mimic, mirror, echo, follow, model oneself on, take as a model, take as an example",
endemic,(of a disease or condition) regularly found among particular people or in a certain area.,,,
enervate,Make (someone) feel drained of energy or vitality.,‘the scorching sun enervated her’,", tire, fatigue, weary, wear out, devitalize, drain, sap, weaken, make weak, make feeble, enfeeble, debilitate, incapacitate, indispose, prostrate, immobilize, lay low, put out of action",invigorate
engender,"Cause or give rise to (a feeling, situation, or condition)",‘his works engendered considerable controversy’,", be the cause of, give rise to, bring about, lead to, result in, produce, create, generate, arouse, rouse, provoke, incite, kindle, trigger, spark off, touch off, stir up, whip up, induce, inspire, instigate, foment, effect, occasion, promote, foster",
enhance,"Intensify, increase, or further improve the quality, value, or extent of.",‘his dramatic appearance enhanced his reputation’,", add to, intensify, magnify, amplify, inflate, strengthen, build up, supplement, augment, boost, upgrade, raise, lift, escalate, elevate, exalt, aggrandize, swell","diminish, mar"
ephemeral,Lasting for a very short time.,‘fashions are ephemeral’,", transient, fleeting, passing, short-lived, momentary, brief, short, cursory, temporary, impermanent, short-term","long-lived, permanent"
equanimity,"Calmness and composure, especially in a difficult situation.",‘she was able to confront the daily crises with equanimity’,", calmness, calm, level-headedness, self-possession, self-control, even-temperedness, coolness, cool-headedness, presence of mind",anxiety
equivocate,Use ambiguous language so as to conceal the truth or avoid committing oneself.,‘the government have equivocated too often in the past’,", be evasive, be non-committal, be vague, be ambiguous, dodge the issue, evade the issue, beat about the bush, hedge, hedge one's bets, fudge the issue",
erudite,Having or showing great knowledge or learning.,‘he was so erudite that only men who were his equals in scholarship could understand him’,", scholarly, well educated, knowledgeable, well read, widely read, well versed, well informed, lettered, cultured, cultivated, civilized, intellectual","ignorant, ill-educated"
esoteric,Intended for or likely to be understood by only a small number of people with a specialized knowledge or interest.,‘the question is dominated by esoteric debate’,", obscure, arcane, recherché, rarefied, recondite, abstract, difficult, hard, puzzling, perplexing, enigmatic, inscrutable, cryptic, Delphic","simple, familiar"
eulogy,"A speech or piece of writing that praises someone or something highly, especially a tribute to someone who has just died.",‘his lifelong collaborator delivered a graveside eulogy’,", speech of praise, panegyric, paean, encomium, tribute, testimonial, compliment, commendation",attack
euphemism,A mild or indirect word or expression substituted for one considered to be too harsh or blunt when referring to something unpleasant or embarrassing.,‘‘professional foul’ is just a euphemism for cheating’,", substitute, mild alternative, indirect term, understatement, underplaying, softening, politeness, genteelism, coy term","dysphemism, calling a spade a spade"
exacerbate,"Make (a problem, bad situation, or negative feeling) worse.",‘political changes have exacerbated the conflict’,", make worse, worsen, inflame, compound","calm, reduce"
exculpate,Show or declare that (someone) is not guilty of wrongdoing.,,,
exigency,An urgent need or demand.,‘the exigencies of the continuing war’,", demand, requirement, want",
extrapolation,The action of estimating or concluding something by assuming that existing trends will continue or a current method will remain applicable.,,,
facetious,Treating serious issues with deliberately inappropriate humour; flippant.,"‘no facetious remarks, please’",", flip, glib, frivolous, tongue-in-cheek, waggish, whimsical, joking, jokey, jesting, jocular, playful, roguish, impish, teasing, arch, mischievous, puckish",serious
facilitate,Make (an action or process) easy or easier.,‘working in pairs appears to facilitate learning’,", make easy, ease, make possible, make smooth, make smoother, smooth, smooth the path of, smooth the way for, clear the way for, open the door for",impede
fallacious,Based on a mistaken belief.,‘the fallacious assumption underlying this reasoning’,", false, untrue, wrong, incorrect, faulty, flawed, inaccurate, inexact, imprecise, mistaken, misinformed, misguided, misleading, deceptive, delusive, delusory, illusory, sophistic, specious, fictitious, spurious, fabricated, distorted, made up, trumped up","true, correct"
fatuous,Silly and pointless.,‘she was irritated by a fatuous question’,", foolish, stupid, inane, nonsensical, childish, puerile, infantile, idiotic, brainless, mindless, vacuous, imbecilic, asinine, witless, empty-headed, hare-brained","intelligent, sensible"
fawning,Displaying exaggerated flattery or affection; obsequious.,‘a circle of fawning civil servants’,", servile, sycophantic, flattering, ingratiating, unctuous, oleaginous, oily, toadyish, slavish, bowing and scraping, grovelling, abject, crawling, creeping, cringing, prostrate, Uriah Heepish",
felicitous,Well chosen or suited to the circumstances.,‘his nickname was particularly felicitous’,", well chosen, well expressed, well put, choice, fitting, suitable, appropriate, apposite, pertinent, germane, to the point, relevant, congruous, apropos",inappropriate
fervor,,‘he preached and laboured with tremendous fervour’,", ardour, intensity, zeal, vehemence, vehemency, emotion, warmth, sincerity, earnestness, avidness, avidity, eagerness, keenness, enthusiasm, excitement, animation, vigour, energy, fire, fieriness, heat, spirit, zest, appetite, hunger, urgency",apathy
flag,"A piece of cloth or similar material, typically oblong or square, attachable by one edge to a pole or rope and used as the symbol or emblem of a country or institution or as a decoration during public festivities.",‘the Irish flag’,", standard, ensign, pennant, pennon, banderole, streamer, jack",revive
fledgling,A young bird that has just fledged.,‘the bird had been ringed as a fledgling’,", baby bird, nestling","declining, mature"
